synset,pos,gloss,emotion
SID-00424220-A,adjective,"marked or dyed or discolored with foreign matter; ""a badly stained tablecloth""; ""tear-stained cheeks""",disgust
SID-00133575-A,adjective,"characterized by anger; ""a choleric outburst""; ""an irascible response""",disgust
SID-07439874-N,noun,acceptance of despair,sadness
SID-07421499-N,noun,a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune,anger
SID-00065431-V,verb,"shed tears because of sadness, rage, or pain; ""She cried bitterly when she heard the news of his death""; ""The girl in the wheelchair wept with frustration when she could not get up the stairs""",sadness
SID-00678350-V,verb,"consider or hold as true; ""I cannot accept the dogma of this church""; ""accept an argument""",like
SID-01888646-A,adjective,"not capable of occurring or being accomplished or dealt with; ""an impossible dream""; ""an impossible situation""",disgust
SID-00115728-R,adverb,"unpleasantly; ""his ignorance was painfully obvious""",anger
SID-00282528-V,verb,"color with a liquid dye or tint; ""Stain this table a beautiful walnut color""; ""people knew how to stain glass a beautiful blue in the middle ages""",disgust
SID-07440645-N,noun,a cynical feeling of distrust,sadness
SID-07132587-N,noun,"a challenge to do something dangerous or foolhardy; ""he could never refuse a dare""",ambiguous
SID-00096268-A,adjective,"not to your liking; ""a most disagreeable journey""; ""a disagreeable old man""; ""in a disagreeable mood""",disgust
SID-00009675-R,adverb,"in a perfect or faultless way; ""She performed perfectly on the balance beam""; ""spoke English perfectly""; ""solved the problem perfectly""",like
SID-14280538-N,noun,"your overall circumstances or condition in life (including everything that happens to you); ""whatever my fortune may be""; ""deserved a better fate""; ""has a happy lot""; ""the luck of the Irish""; ""a victim of circumstances""; ""success that was her portion""",hope
SID-01203817-V,verb,"take into custody; ""the police nabbed the suspected criminals""",disgust
SID-01170445-A,adjective,"having undesirable or negative qualities; ""a bad report card""; ""his sloppy appearance made a bad impression""; ""a bad little boy""; ""clothes in bad shape""; ""a bad cut""; ""bad luck""; ""the news was very bad""; ""the reviews were bad""; ""the pay is bad""; ""it was a bad light for reading""; ""the movie was a bad choice""",disgust
SID-00800018-A,adjective,"not direct in spatial dimension; not leading by a straight line or course to a destination; ""sometimes taking an indirect path saves time""; ""you must take an indirect course in sailing""",disgust
SID-01517767-A,adjective,"expressive of or exciting sexual love or romance; ""her amatory affairs""; ""amorous glances""; ""a romantic adventure""; ""a romantic moonlight ride""",love
SID-09619712-N,noun,"a person with a record of successes; ""his son would never be the achiever that his father was""; ""only winners need apply""; ""if you want to be a success you have to dress like a success""",like
SID-02550431-V,verb,be false to; be dishonest with,hate
SID-09719006-N,noun,"an entertainer who has a sensational effect; ""she was a blonde bombshell""",surprise
SID-10096265-N,noun,a maker of laws; someone who gives a code of laws,anticipation
SID-02178886-N,noun,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,disgust
SID-01088702-V,verb,"fail to win; ""We lost the battle but we won the war""",disgust
SID-01998301-V,verb,"to come or go into; ""the boat entered an area of shallow marshes""",joy
SID-00229044-R,adverb,"in an exultant manner; ""it was exultingly easy""",joy
SID-00454927-A,adjective,"free from cloudiness; allowing light to pass through; ""clear water""; ""clear plastic bags""; ""clear glass""; ""the air is clear and clean""",like
SID-00843007-A,adjective,"full of life and energy; ""a lively discussion""; ""lively and attractive parents""; ""a lively party""",like
SID-00113743-A,adjective,"deficient in amount or quality or extent; ""meager resources""; ""meager fare""",disgust
SID-01132310-A,adjective,"designed for or capable of a particular function or use; ""a style of writing in which every word is functional""; ""functional architecture""",like
SID-07431273-N,noun,sadness on thinking about the evils of the world,sadness
SID-00387264-R,adverb,"in a keen and discriminating manner; ""he was keenly aware of his own shortcomings""",like
SID-02546879-A,adjective,"suspicious or unduly suspicious or fearful of being displaced by a rival; ""a jealous lover""",disgust
SID-00315003-A,adjective,"actively or fully engaged or occupied; ""busy with her work""; ""a busy man""; ""too busy to eat lunch""; ""the line is busy""",anger
SID-10057628-N,noun,a person who takes part in an armed rebellion against the constituted authority (especially in the hope of improving conditions),sadness
SID-14984307-N,noun,"a day on which work is suspended by law or custom; ""no mail is delivered on federal holidays""; ""it's a good thing that New Year's was a holiday because everyone had a hangover""",like
SID-02102534-V,verb,be the source of pain,sadness
SID-02475545-V,verb,"impose a penalty on; inflict punishment on; ""The students were penalized for showing up late for class""; ""we had to punish the dog for soiling the floor again""",sadness
SID-05096116-N,noun,"an advantage held by a competitor in a race; ""he took the lead at the last turn""",anticipation
SID-07404269-N,noun,feelings of extreme heartlessness,fear
SID-07428317-N,noun,cheerfulness that bubbles to the surface,joy
SID-02654098-V,verb,"keep or maintain in unaltered condition; cause to remain or last; ""preserve the peace in the family""; ""continue the family tradition""; ""Carry on the old traditions""",like
SID-00102197-R,adverb,"at or to a certain point or degree; ""I can only go so far before I have to give up""; ""how far can we get with this kind of argument?""",disgust
SID-10576837-N,noun,"one whose presence is undesirable; ""rounding up vagrants and drunks and other undesirables""",fear
SID-00973286-A,adjective,"having a high price; ""costly jewelry""; ""high-priced merchandise""; ""much too dear for my pocketbook""; ""a pricey restaurant""",disgust
SID-01807558-A,adjective,"having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent penetrative observations""",anticipation
SID-00161415-V,verb,"restore to a previous or better condition; ""They renovated the ceiling of the Sistine Chapel""",like
SID-00696133-V,verb,think moodily or anxiously about something,anger
SID-02211934-N,noun,any of numerous chiefly nocturnal insects; some are domestic pests,fear
SID-07416773-N,noun,an exasperated feeling of annoyance,disgust
SID-00359664-A,adjective,"persuaded of; very sure; ""were convinced that it would be to their advantage to join""; ""I am positive he is lying""; ""was confident he would win""",calmness
SID-00893136-V,verb,"let off the hook; ""I absolve you from this responsibility""",like
SID-00019837-A,adjective,"generally or especially officially judged acceptable or satisfactory; ""an approved method""; ""work on the approved project went ahead on schedule""",like
SID-00242649-A,adjective,"so extremely ugly as to be terrifying; ""a hideous scar""; ""a repulsive mask""",disgust
SID-14272496-N,noun,a fault or defect in a system or machine,disgust
SID-10515534-N,noun,a caretaker for an apartment house; represents the owner as janitor and rent collector,joy
SID-07213437-N,noun,an accident that results in physical damage or hurt,disgust
SID-10186020-N,noun,someone who plays a musical instrument (as a profession),joy
SID-00270396-A,adjective,"characteristic of or capable of or having a tendency toward killing another human being ; ""a homicidal rage""; ""murderous thugs""",disgust
SID-06639344-N,noun,"an assertion of a right (as to money or property); ""his claim asked for damages""",disgust
SID-01695162-V,verb,guide the actors in (plays and films),anticipation
SID-07401147-N,noun,strong feelings of dislike,disgust
SID-00322153-R,adverb,"with distress; ""`Doctor Rother says it's his only chance,' she added distressfully""",anger
SID-01759948-V,verb,"be fond of; ""I like my nephews""",like
SID-01806384-V,verb,"arouse hostility or indifference in where there had formerly been love, affection, or friendliness; ""She alienated her friends when she became fanatically religious""",disgust
SID-13894836-N,noun,"a sudden occurrence of an uncontrollable condition; ""an attack of diarrhea""",fear
SID-02103109-A,adjective,"being or located on or directed toward the side of the body to the east when facing north; ""my right hand""; ""right center field""; ""a right-hand turn""; ""the right bank of a river is the bank on your right side when you are facing downstream""",like
SID-00622941-V,verb,"reflect deeply on a subject; ""I mulled over the events of the afternoon""; ""philosophers have speculated on the question of God for thousands of years""; ""The scientist must stop to observe and start to excogitate""",hope
SID-01049498-A,adjective,"serving to set in motion; ""the magazine's inaugural issue""; ""the initiative phase in the negotiations""; ""an initiatory step toward a treaty""; ""his first (or maiden) speech in Congress""; ""the liner's maiden voyage""",anticipation
SID-01832193-A,adjective,"not relating to or responsive to individual persons; ""an impersonal corporation""; ""an impersonal remark""",disgust
SID-01178310-A,adjective,"morally reprehensible; ""would do something as despicable as murder""; ""ugly crimes""; ""the vile development of slavery appalled them""; ""a slimy little liar""",hate
SID-01394947-A,adjective,arousing or holding the attention,like
